Ticker,EventDate,CAR_Window,CAR,Surprise,EPS_Estimate,Reported_EPS
AAPL,2022-01-27 16:30:00,10,-0.02000605399296179,0.1117,1.89,2.1
AAPL,2022-01-27 16:30:00,30,-0.0389578582638177,0.1117,1.89,2.1
AAPL,2021-10-28 16:30:00,1,-0.008142767534833055,0.003,1.24,1.24
AAPL,2021-10-28 16:30:00,2,-0.006059203067603892,0.003,1.24,1.24
AAPL,2021-10-28 16:30:00,5,-0.015704688204199582,0.003,1.24,1.24
AAPL,2021-10-28 16:30:00,10,-0.020616020689172718,0.003,1.24,1.24
AAPL,2021-10-28 16:30:00,30,0.09668234374911366,0.003,1.24,1.24
AAPL,2021-07-27 16:30:00,1,-0.002061929591678365,0.2912,1.01,1.3
AAPL,2021-07-27 16:30:00,2,0.006246523680894697,0.2912,1.01,1.3
AAPL,2021-07-27 16:30:00,5,0.009130169914670062,0.2912,1.01,1.3
AAPL,2021-07-27 16:30:00,10,-0.013096660896935747,0.2912,1.01,1.3
AAPL,2021-07-27 16:30:00,30,-0.0074066927629132355,0.2912,1.01,1.3
AAPL,2021-04-28 16:30:00,1,-0.003119610436217484,0.4189,0.99,1.4
AAPL,2021-04-28 16:30:00,2,0.003155036404773593,0.4189,0.99,1.4
AAPL,2021-04-28 16:30:00,5,-0.01479800155893426,0.4189,0.99,1.4
AAPL,2021-04-28 16:30:00,10,-0.010632895426965237,0.4189,0.99,1.4
AAPL,2021-04-28 16:30:00,30,-0.0167967191049457,0.4189,0.99,1.4
NVDA,2025-02-26 16:20:00,1,0.0008757388015033576,0.055,0.84,0.89
NVDA,2025-02-26 16:20:00,2,-0.03968084209718321,0.055,0.84,0.89
NVDA,2025-02-26 16:20:00,5,-0.016039446528953477,0.055,0.84,0.89
NVDA,2025-02-26 16:20:00,10,0.13663886040586046,0.055,0.84,0.89
NVDA,2025-02-26 16:20:00,30,0.04773124526270735,0.055,0.84,0.89
NVDA,2024-11-20 16:20:00,1,-0.042688460626557394,0.0858,0.75,0.81
NVDA,2024-11-20 16:20:00,2,-0.09368220705582961,0.0858,0.75,0.81
NVDA,2024-11-20 16:20:00,5,-0.10034477970090964,0.0858,0.75,0.81
NVDA,2024-11-20 16:20:00,10,-0.09976963124852917,0.0858,0.75,0.81
NVDA,2024-11-20 16:20:00,30,-0.09675781836598912,0.0858,0.75,0.81
NVDA,2024-08-28 16:20:00,1,-0.01635785204844721,0.0603,0.64,0.68
NVDA,2024-08-28 16:20:00,2,-0.0499487404449626,0.0603,0.64,0.68
NVDA,2024-08-28 16:20:00,5,-0.036932487245839224,0.0603,0.64,0.68
NVDA,2024-08-28 16:20:00,10,-0.011043544989414376,0.0603,0.64,0.68
NVDA,2024-08-28 16:20:00,30,-0.07259471082067842,0.0603,0.64,0.68
NVDA,2024-05-22 16:22:00,1,0.002255926688590395,0.09480000000000001,0.56,0.61
NVDA,2024-05-22 16:22:00,2,0.06841585720668357,0.09480000000000001,0.56,0.61
NVDA,2024-05-22 16:22:00,5,0.0378751572363853,0.09480000000000001,0.56,0.61
NVDA,2024-05-22 16:22:00,10,0.08501599865930666,0.09480000000000001,0.56,0.61
NVDA,2024-05-22 16:22:00,30,0.0311767344590324,0.09480000000000001,0.56,0.61
NVDA,2024-02-21 16:22:00,1,0.0005278805431635242,0.11320000000000001,4.64,5.16
NVDA,2024-02-21 16:22:00,2,0.008534643423313164,0.11320000000000001,4.64,5.16
NVDA,2024-02-21 16:22:00,5,-0.007736382580600004,0.11320000000000001,4.64,5.16
NVDA,2024-02-21 16:22:00,10,0.11943641806249498,0.11320000000000001,4.64,5.16
NVDA,2024-02-21 16:22:00,30,0.03335714562124888,0.11320000000000001,4.64,5.16
NVDA,2023-11-21 16:20:00,1,-0.022161137614851962,0.19210000000000002,3.37,4.02
NVDA,2023-11-21 16:20:00,2,-0.01041025714871902,0.19210000000000002,3.37,4.02
NVDA,2023-11-21 16:20:00,5,-0.053387064208881105,0.19210000000000002,3.37,4.02
NVDA,2023-11-21 16:20:00,10,-0.07202972060145488,0.19210000000000002,3.37,4.02
NVDA,2023-11-21 16:20:00,30,-0.11272256343830137,0.19210000000000002,3.37,4.02
NVDA,2023-08-23 16:20:00,1,-0.046663594083082904,0.29410000000000003,2.09,2.7
NVDA,2023-08-23 16:20:00,2,-0.05012186954668964,0.29410000000000003,2.09,2.7
NVDA,2023-08-23 16:20:00,5,-0.05515076202715101,0.29410000000000003,2.09,2.7
NVDA,2023-08-23 16:20:00,10,-0.13000026454379407,0.29410000000000003,2.09,2.7
NVDA,2023-08-23 16:20:00,30,-0.15593370372483908,0.29410000000000003,2.09,2.7
NVDA,2023-05-24 16:20:00,1,-0.004101281329550632,0.1857,0.92,1.09
NVDA,2023-05-24 16:20:00,2,0.020532081477420878,0.1857,0.92,1.09
NVDA,2023-05-24 16:20:00,5,-0.0459734298371834,0.1857,0.92,1.09
NVDA,2023-05-24 16:20:00,10,-0.09262664879595152,0.1857,0.92,1.09
NVDA,2023-05-24 16:20:00,30,-0.1267596367265491,0.1857,0.92,1.09
NVDA,2023-02-22 16:50:00,1,0.0036956830438609894,0.0875,0.81,0.88
NVDA,2023-02-22 16:50:00,2,0.0006868348508745521,0.0875,0.81,0.88
NVDA,2023-02-22 16:50:00,5,-0.021304484108042546,0.0875,0.81,0.88
NVDA,2023-02-22 16:50:00,10,-0.003009160732998055,0.0875,0.81,0.88
NVDA,2023-02-22 16:50:00,30,0.004492551704196476,0.0875,0.81,0.88
NVDA,2022-11-16 16:20:00,1,-0.02668173295661639,-0.16469999999999999,0.69,0.58
NVDA,2022-11-16 16:20:00,2,-0.024683620322611843,-0.16469999999999999,0.69,0.58
NVDA,2022-11-16 16:20:00,5,-0.0014800555700127324,-0.16469999999999999,0.69,0.58
NVDA,2022-11-16 16:20:00,10,0.015532987631432559,-0.16469999999999999,0.69,0.58
NVDA,2022-11-16 16:20:00,30,0.0966770837000542,-0.16469999999999999,0.69,0.58
NVDA,2022-08-24 16:20:00,1,-0.020260478565490472,-0.5938,1.26,0.51
NVDA,2022-08-24 16:20:00,2,-0.03403375065226132,-0.5938,1.26,0.51
NVDA,2022-08-24 16:20:00,5,-0.1214142700838433,-0.5938,1.26,0.51
NVDA,2022-08-24 16:20:00,10,-0.14107852491495887,-0.5938,1.26,0.51
NVDA,2022-08-24 16:20:00,30,-0.06518406658613116,-0.5938,1.26,0.51
NVDA,2022-05-25 16:20:00,1,-0.005978473550684857,0.051500000000000004,1.29,1.36
NVDA,2022-05-25 16:20:00,2,0.0021269988308529886,0.051500000000000004,1.29,1.36
NVDA,2022-05-25 16:20:00,5,0.02211495370960206,0.051500000000000004,1.29,1.36
NVDA,2022-05-25 16:20:00,10,0.052127835720678514,0.051500000000000004,1.29,1.36
NVDA,2022-05-25 16:20:00,30,0.0233614882167304,0.051500000000000004,1.29,1.36
NVDA,2022-02-16 16:24:00,1,-0.018446420805655055,0.0799,1.22,1.32
NVDA,2022-02-16 16:24:00,2,-0.003981617075345903,0.0799,1.22,1.32
NVDA,2022-02-16 16:24:00,5,-0.030631326582504753,0.0799,1.22,1.32
NVDA,2022-02-16 16:24:00,10,-0.06100805778792761,0.0799,1.22,1.32
NVDA,2022-02-16 16:24:00,30,-0.061158640420692474,0.0799,1.22,1.32
NVDA,2021-11-17 16:21:00,1,0.04031367428501399,0.0576,1.11,1.17
NVDA,2021-11-17 16:21:00,2,0.011816922629393885,0.0576,1.11,1.17
NVDA,2021-11-17 16:21:00,5,0.025848789975230685,0.0576,1.11,1.17
NVDA,2021-11-17 16:21:00,10,0.008693576846643361,0.0576,1.11,1.17
